phrase,total_occurrences,position_score,p_dem,p_rep,n_dem,n_rep,ngram_size
speaker,22456,0.0034539268742152965,2.3346448540070406,2.3508281350828133,11274,10929,1
mr speaker,19698,0.002089887195663627,2.049492648581487,2.0580770058077005,9897,9568,2
people,18511,-0.2690354905460975,2.4000828328846553,1.3824478382447838,11590,6427,1
act,12933,0.2739146351019736,0.9877821495133569,1.7330608733060873,4770,8057,1
president,12615,-0.1660768992688216,1.5210188444812591,1.0877608087760808,7345,5057,1
american,11215,-0.08432258533650977,1.2623731621453718,1.0660357066035706,6096,4956,1
just,10652,-0.18394286885770086,1.296334644854007,0.8935254893525489,6260,4154,1
states,10588,0.11511279867306519,0.969351832677573,1.2215530221553021,4681,5679,1
time,9857,-0.017446269903679996,1.039966866846138,1.0043020004302001,5022,4669,1
today,9695,-0.002017860057091435,1.0064195485607785,1.00236610023661,4860,4660,1
trump,9527,-0.48534892944537805,1.459515427624767,0.505700150570015,7048,2351,1
support,9214,0.17758548223799595,0.7933319527852557,1.1359432135943213,3831,5281,1
united,8865,0.16592439262232453,0.7666183474839511,1.0716283071628308,3702,4982,1
country,8773,-0.16979325988273616,1.0323048250155311,0.7326306732630673,4985,3406,1
congress,8406,-0.13085276505843535,0.9817767653758542,0.7545708754570876,4741,3508,1
years,8345,0.11072956554016103,0.7691033340236074,0.9606366960636696,3714,4466,1
year,8337,0.0714225868499097,0.7997515013460343,0.9227790922779092,3862,4290,1
going,8292,-0.1463155069924873,0.9730793124870574,0.7246719724671973,4699,3369,1
united states,8259,0.18611575358667776,0.6972458065852143,1.01613250161325,3367,4724,2
state,7799,0.10034158065748308,0.7024228618761649,0.8591094859109486,3392,3994,1
house,7632,0.037966691056601005,0.7595775522882584,0.8195310819531082,3668,3810,1
federal,7566,0.15467988076536948,0.6645268171464072,0.9077220907722091,3209,4220,1
colleagues,7554,-0.1283000012332921,0.8906605922551253,0.6881049688104969,4301,3199,1
make,6933,-0.1856625333800397,0.8490370677158832,0.5831361583136159,4100,2711,1
work,6923,-0.07414589487703882,0.7751087181611099,0.6681006668100666,3743,3106,1
like,6824,-0.18037366002633987,0.8301925864568234,0.5764680576468058,4009,2680,1
new,6710,-0.08358359797895532,0.7523296748809277,0.6362658636265863,3633,2958,1
law,6591,-0.01374559608389892,0.6893766825429696,0.6706818670681867,3329,3118,1
want,6574,-0.15513772367633116,0.786705322012839,0.5753925575392558,3799,2675,1
americans,6511,-0.2942712265285679,0.867467384551667,0.47300494730049475,4189,2199,1
america,6501,0.06600037351576489,0.6309794988610479,0.7201548720154872,3047,3348,1
national,6402,0.18131705358592423,0.5464899565127356,0.7885566788556679,2639,3666,1
government,6360,0.10004877171295173,0.5903913853799958,0.7216605721660572,2851,3355,1
administration,6310,-0.24717403930148096,0.8206668047214745,0.495375349537535,3963,2303,1
know,6273,-0.21601826081964848,0.7910540484572375,0.5100021510002151,3820,2371,1
committee,6226,0.3818006859630938,0.4062952992337958,0.9081522908152291,1962,4222,1
rise,6004,-0.00814852929410407,0.6349140608821702,0.6246504624650463,3066,2904,1
service,5972,0.2321042220443458,0.4816732242700352,0.7728543772854377,2326,3593,1
community,5954,0.045920632695618344,0.5868709877821495,0.6433641643364164,2834,2991,1
public,5820,-0.09286461105189822,0.6535514599295921,0.5424822542482254,3156,2522,1
don,5709,-0.2138762411588808,0.7127769724580658,0.4616046461604646,3442,2146,1
families,5634,-0.21548223274413142,0.714847794574446,0.4613895461389546,3452,2145,1
vote,5497,-0.1965568182422522,0.6823358873472769,0.45816304581630457,3295,2130,1
security,5465,0.1645446418346667,0.48084489542348313,0.6702516670251667,2322,3116,1
republicans,5376,-0.5911663238185144,0.8832056326361566,0.22693052269305228,4265,1055,1
tax,5375,0.0076293585192053915,0.5529095050735142,0.5614110561411056,2670,2610,1
need,5306,-0.19631456313703513,0.6518948022364879,0.4379436437943644,3148,2036,1
000,5261,-0.17215398408985588,0.6347069786705322,0.44826844482684447,3065,2084,1
right,5023,-0.21417681483891918,0.6208324704907848,0.401806840180684,2998,1868,1
