phrase,total_occurrences,position_score,p_dem,p_rep,n_dem,n_rep,ngram_size,n_senators
sharia,176,0.9999999974954545,0.0,0.039927404718693285,0,176,1,10
title 14,173,0.9999999974520231,0.0,0.03924682395644283,0,173,2,4
ffa,112,0.9999999960642857,0.0,0.025408348457350273,0,112,1,205
practicable,104,0.9999999957615384,0.0,0.023593466424682397,0,104,1,30
freelance,98,0.9999999955020408,0.0,0.02223230490018149,0,98,1,5
depository institution,98,0.9999999955020408,0.0,0.02223230490018149,0,98,2,5
insured depository,97,0.9999999954556701,0.0,0.022005444646098004,0,97,2,3
appropriate congressional committees,97,0.9999999954556701,0.0,0.022005444646098004,0,97,3,12
title 38,95,0.99999999536,0.0,0.021551724137931036,0,95,2,6
wrec,89,0.999999995047191,0.0,0.02019056261343013,0,89,1,31
title 46,86,0.9999999948744186,0.0,0.019509981851179675,0,86,2,5
insured depository institution,79,0.9999999944202531,0.0,0.01792196007259528,0,79,3,3
extent practicable,75,0.9999999941226666,0.0,0.01701451905626134,0,75,2,16
presse,73,0.9999999939616437,0.0,0.016560798548094374,0,73,1,115
calendar days,71,0.9999999937915492,0.0,0.016107078039927405,0,71,2,11
shall ensure,69,0.9999999936115942,0.0,0.015653357531760434,0,69,2,20
distributed ledger,68,0.9999999935176471,0.0,0.015426497277676952,0,68,2,3
committee shall,61,0.9999999927737706,0.0,0.013838475499092558,0,61,2,4
flood insurance,61,0.9999999927737706,0.0,0.013838475499092558,0,61,2,3
foreign person,61,0.9999999927737706,0.0,0.013838475499092558,0,61,2,7
